state,county_name,fips_code,carrier,issuer_id,plan_count
AL,Cherokee County,1019,Blue Cross and Blue Shield of Alabama,46944,15
AL,Chilton County,1021,Blue Cross and Blue Shield of Alabama,46944,15
AL,Choctaw County,1023,Blue Cross and Blue Shield of Alabama,46944,15
AL,Clarke County,1025,Blue Cross and Blue Shield of Alabama,46944,15
AL,Clay County,1027,Blue Cross and Blue Shield of Alabama,46944,15
AL,Cleburne County,1029,Blue Cross and Blue Shield of Alabama,46944,15
AL,Coffee County,1031,Blue Cross and Blue Shield of Alabama,46944,15
AL,Colbert County,1033,Blue Cross and Blue Shield of Alabama,46944,15
AL,Conecuh County,1035,Blue Cross and Blue Shield of Alabama,46944,15
AL,Coosa County,1037,Blue Cross and Blue Shield of Alabama,46944,15
AL,Covington County,1039,Blue Cross and Blue Shield of Alabama,46944,15
AL,Crenshaw County,1041,Blue Cross and Blue Shield of Alabama,46944,15
AL,Cullman County,1043,Blue Cross and Blue Shield of Alabama,46944,15
AL,Dale County,1045,Blue Cross and Blue Shield of Alabama,46944,15
AL,Dallas County,1047,Blue Cross and Blue Shield of Alabama,46944,15
AL,DeKalb County,1049,Blue Cross and Blue Shield of Alabama,46944,15
AL,Elmore County,1051,Blue Cross and Blue Shield of Alabama,46944,15
AL,Escambia County,1053,Blue Cross and Blue Shield of Alabama,46944,15
AL,Etowah County,1055,Blue Cross and Blue Shield of Alabama,46944,15
AL,Fayette County,1057,Blue Cross and Blue Shield of Alabama,46944,15
AL,Franklin County,1059,Blue Cross and Blue Shield of Alabama,46944,15
AL,Geneva County,1061,Blue Cross and Blue Shield of Alabama,46944,15
AL,Greene County,1063,Blue Cross and Blue Shield of Alabama,46944,15
AL,Hale County,1065,Blue Cross and Blue Shield of Alabama,46944,15
AL,Henry County,1067,Blue Cross and Blue Shield of Alabama,46944,15
AL,Houston County,1069,Blue Cross and Blue Shield of Alabama,46944,15
AL,Jackson County,1071,Blue Cross and Blue Shield of Alabama,46944,15
AL,Jefferson County,1073,Blue Cross and Blue Shield of Alabama,46944,15
AL,Lamar County,1075,Blue Cross and Blue Shield of Alabama,46944,15
AL,Lauderdale County,1077,Blue Cross and Blue Shield of Alabama,46944,15
AL,Lawrence County,1079,Blue Cross and Blue Shield of Alabama,46944,15
AL,Lee County,1081,Blue Cross and Blue Shield of Alabama,46944,15
AL,Limestone County,1083,Blue Cross and Blue Shield of Alabama,46944,15
AL,Lowndes County,1085,Blue Cross and Blue Shield of Alabama,46944,15
AL,Macon County,1087,Blue Cross and Blue Shield of Alabama,46944,15
AL,Madison County,1089,Blue Cross and Blue Shield of Alabama,46944,15
AL,Marengo County,1091,Blue Cross and Blue Shield of Alabama,46944,15
AL,Marion County,1093,Blue Cross and Blue Shield of Alabama,46944,15
AL,Marshall County,1095,Blue Cross and Blue Shield of Alabama,46944,15
AL,Mobile County,1097,Blue Cross and Blue Shield of Alabama,46944,15
AL,Monroe County,1099,Blue Cross and Blue Shield of Alabama,46944,15
AL,Montgomery County,1101,Blue Cross and Blue Shield of Alabama,46944,15
AL,Morgan County,1103,Blue Cross and Blue Shield of Alabama,46944,15
AL,Perry County,1105,Blue Cross and Blue Shield of Alabama,46944,15
AL,Pickens County,1107,Blue Cross and Blue Shield of Alabama,46944,15
AL,Pike County,1109,Blue Cross and Blue Shield of Alabama,46944,15
AL,Randolph County,1111,Blue Cross and Blue Shield of Alabama,46944,15
AL,Russell County,1113,Blue Cross and Blue Shield of Alabama,46944,15
AL,Shelby County,1117,Blue Cross and Blue Shield of Alabama,46944,15
AL,St. Clair County,1115,Blue Cross and Blue Shield of Alabama,46944,15
AL,Sumter County,1119,Blue Cross and Blue Shield of Alabama,46944,15
AL,Talladega County,1121,Blue Cross and Blue Shield of Alabama,46944,15
AL,Tallapoosa County,1123,Blue Cross and Blue Shield of Alabama,46944,15
AL,Tuscaloosa County,1125,Blue Cross and Blue Shield of Alabama,46944,15
AL,Walker County,1127,Blue Cross and Blue Shield of Alabama,46944,15
AL,Washington County,1129,Blue Cross and Blue Shield of Alabama,46944,15
AL,Wilcox County,1131,Blue Cross and Blue Shield of Alabama,46944,15
AL,Winston County,1133,Blue Cross and Blue Shield of Alabama,46944,15
AR,Arkansas County,5001,Ambetter of Arkansas,62141,19
AR,Arkansas County,5001,Arkansas Blue Cross and Blue Shield,75293,27
AR,Arkansas County,5001,Coventry Health and Life,60079,1
AR,Arkansas County,5001,QC Life and Health,37903,5
AR,Arkansas County,5001,QualChoice Health Insurance,70525,24
AR,Ashley County,5003,Ambetter of Arkansas,62141,19
AR,Ashley County,5003,Arkansas Blue Cross and Blue Shield,75293,27
AR,Ashley County,5003,Coventry Health and Life,60079,1
AR,Ashley County,5003,QC Life and Health,37903,5
AR,Ashley County,5003,QualChoice Health Insurance,70525,24
AR,Baxter County,5005,Ambetter of Arkansas,62141,19
AR,Baxter County,5005,Arkansas Blue Cross and Blue Shield,75293,27
AR,Baxter County,5005,Coventry Health and Life,60079,1
AR,Baxter County,5005,QC Life and Health,37903,5
AR,Baxter County,5005,QualChoice Health Insurance,70525,24
AR,Benton County,5007,Ambetter of Arkansas,62141,19
AR,Benton County,5007,Arkansas Blue Cross and Blue Shield,75293,27
AR,Benton County,5007,Coventry Health and Life,60079,1
AR,Benton County,5007,QC Life and Health,37903,5
AR,Benton County,5007,QualChoice Health Insurance,70525,24
AR,Boone County,5009,Ambetter of Arkansas,62141,19
AR,Boone County,5009,Arkansas Blue Cross and Blue Shield,75293,27
AR,Boone County,5009,Coventry Health and Life,60079,1
AR,Boone County,5009,QC Life and Health,37903,5
AR,Boone County,5009,QualChoice Health Insurance,70525,24
AR,Bradley County,5011,Ambetter of Arkansas,62141,19
AR,Bradley County,5011,Arkansas Blue Cross and Blue Shield,75293,27
AR,Bradley County,5011,Coventry Health and Life,60079,1
AR,Bradley County,5011,QC Life and Health,37903,5
AR,Bradley County,5011,QualChoice Health Insurance,70525,24
AR,Calhoun County,5013,Ambetter of Arkansas,62141,19
AR,Calhoun County,5013,Arkansas Blue Cross and Blue Shield,75293,27
AR,Calhoun County,5013,Coventry Health and Life,60079,1
AR,Calhoun County,5013,QualChoice Health Insurance,70525,17
AR,Carroll County,5015,Ambetter of Arkansas,62141,19
AR,Carroll County,5015,Arkansas Blue Cross and Blue Shield,75293,27
AR,Carroll County,5015,Coventry Health and Life,60079,1
AR,Carroll County,5015,QC Life and Health,37903,5
AR,Carroll County,5015,QualChoice Health Insurance,70525,24
AR,Chicot County,5017,Ambetter of Arkansas,62141,19
AR,Chicot County,5017,Arkansas Blue Cross and Blue Shield,75293,27
AR,Chicot County,5017,Coventry Health and Life,60079,1
AR,Chicot County,5017,QC Life and Health,37903,5
AR,Chicot County,5017,QualChoice Health Insurance,70525,24
AR,Clark County,5019,Ambetter of Arkansas,62141,19
AR,Clark County,5019,Arkansas Blue Cross and Blue Shield,75293,27
AR,Clark County,5019,Coventry Health and Life,60079,1
AR,Clark County,5019,QC Life and Health,37903,5
AR,Clark County,5019,QualChoice Health Insurance,70525,24
AR,Clay County,5021,Ambetter of Arkansas,62141,19
AR,Clay County,5021,Arkansas Blue Cross and Blue Shield,75293,27
AR,Clay County,5021,Coventry Health and Life,60079,1
AR,Clay County,5021,QC Life and Health,37903,5
AR,Clay County,5021,QualChoice Health Insurance,70525,24
AR,Cleburne County,5023,Ambetter of Arkansas,62141,19
AR,Cleburne County,5023,Arkansas Blue Cross and Blue Shield,75293,27
AR,Cleburne County,5023,Coventry Health and Life,60079,1
AR,Cleburne County,5023,QC Life and Health,37903,5
AR,Cleburne County,5023,QualChoice Health Insurance,70525,24
AR,Cleveland County,5025,Ambetter of Arkansas,62141,19
AR,Cleveland County,5025,Arkansas Blue Cross and Blue Shield,75293,27
AR,Cleveland County,5025,Coventry Health and Life,60079,1
AR,Cleveland County,5025,QC Life and Health,37903,5
AR,Cleveland County,5025,QualChoice Health Insurance,70525,24
AR,Columbia County,5027,Ambetter of Arkansas,62141,19
AR,Columbia County,5027,Arkansas Blue Cross and Blue Shield,75293,27
AR,Columbia County,5027,Coventry Health and Life,60079,1
AR,Columbia County,5027,QualChoice Health Insurance,70525,17
AR,Conway County,5029,Ambetter of Arkansas,62141,19
AR,Conway County,5029,Arkansas Blue Cross and Blue Shield,75293,27
AR,Conway County,5029,Coventry Health and Life,60079,1
AR,Conway County,5029,QC Life and Health,37903,5
AR,Conway County,5029,QualChoice Health Insurance,70525,24
AR,Craighead County,5031,Ambetter of Arkansas,62141,19
AR,Craighead County,5031,Arkansas Blue Cross and Blue Shield,75293,27
AR,Craighead County,5031,Coventry Health and Life,60079,1
AR,Craighead County,5031,QC Life and Health,37903,5
AR,Craighead County,5031,QualChoice Health Insurance,70525,24
AR,Crawford County,5033,Ambetter of Arkansas,62141,19
AR,Crawford County,5033,Arkansas Blue Cross and Blue Shield,75293,27
AR,Crawford County,5033,Coventry Health and Life,60079,1
AR,Crawford County,5033,QualChoice Health Insurance,70525,17
AR,Crittenden County,5035,Ambetter of Arkansas,62141,19
AR,Crittenden County,5035,Arkansas Blue Cross and Blue Shield,75293,27
AR,Crittenden County,5035,Coventry Health and Life,60079,1
AR,Crittenden County,5035,QC Life and Health,37903,5
AR,Crittenden County,5035,QualChoice Health Insurance,70525,24
AR,Cross County,5037,Ambetter of Arkansas,62141,19
AR,Cross County,5037,Arkansas Blue Cross and Blue Shield,75293,27
AR,Cross County,5037,Coventry Health and Life,60079,1
AR,Cross County,5037,QC Life and Health,37903,5
AR,Cross County,5037,QualChoice Health Insurance,70525,24
AR,Dallas County,5039,Ambetter of Arkansas,62141,19
AR,Dallas County,5039,Arkansas Blue Cross and Blue Shield,75293,27
AR,Dallas County,5039,Coventry Health and Life,60079,1
AR,Dallas County,5039,QC Life and Health,37903,5
AR,Dallas County,5039,QualChoice Health Insurance,70525,24
AR,Desha County,5041,Ambetter of Arkansas,62141,19
AR,Desha County,5041,Arkansas Blue Cross and Blue Shield,75293,27
AR,Desha County,5041,Coventry Health and Life,60079,1
AR,Desha County,5041,QC Life and Health,37903,5
AR,Desha County,5041,QualChoice Health Insurance,70525,24
AR,Drew County,5043,Ambetter of Arkansas,62141,19
AR,Drew County,5043,Arkansas Blue Cross and Blue Shield,75293,27
AR,Drew County,5043,Coventry Health and Life,60079,1
AR,Drew County,5043,QC Life and Health,37903,5
AR,Drew County,5043,QualChoice Health Insurance,70525,24
AR,Faulkner County,5045,Ambetter of Arkansas,62141,19
AR,Faulkner County,5045,Arkansas Blue Cross and Blue Shield,75293,27
AR,Faulkner County,5045,Coventry Health and Life,60079,1
AR,Faulkner County,5045,QC Life and Health,37903,5
AR,Faulkner County,5045,QualChoice Health Insurance,70525,24
AR,Franklin County,5047,Ambetter of Arkansas,62141,19
AR,Franklin County,5047,Arkansas Blue Cross and Blue Shield,75293,27
AR,Franklin County,5047,Coventry Health and Life,60079,1
AR,Franklin County,5047,QualChoice Health Insurance,70525,17
AR,Fulton County,5049,Ambetter of Arkansas,62141,19
AR,Fulton County,5049,Arkansas Blue Cross and Blue Shield,75293,27
AR,Fulton County,5049,Coventry Health and Life,60079,1
AR,Fulton County,5049,QC Life and Health,37903,5
AR,Fulton County,5049,QualChoice Health Insurance,70525,24
AR,Garland County,5051,Ambetter of Arkansas,62141,19
AR,Garland County,5051,Arkansas Blue Cross and Blue Shield,75293,27
AR,Garland County,5051,Coventry Health and Life,60079,1
AR,Garland County,5051,QC Life and Health,37903,5
AR,Garland County,5051,QualChoice Health Insurance,70525,24
AR,Grant County,5053,Ambetter of Arkansas,62141,19
AR,Grant County,5053,Arkansas Blue Cross and Blue Shield,75293,27
AR,Grant County,5053,Coventry Health and Life,60079,1
AR,Grant County,5053,QC Life and Health,37903,5
AR,Grant County,5053,QualChoice Health Insurance,70525,24
AR,Greene County,5055,Ambetter of Arkansas,62141,19
AR,Greene County,5055,Arkansas Blue Cross and Blue Shield,75293,27
AR,Greene County,5055,Coventry Health and Life,60079,1
AR,Greene County,5055,QC Life and Health,37903,5
AR,Greene County,5055,QualChoice Health Insurance,70525,24
AR,Hempstead County,5057,Ambetter of Arkansas,62141,19
AR,Hempstead County,5057,Arkansas Blue Cross and Blue Shield,75293,27
AR,Hempstead County,5057,Coventry Health and Life,60079,1
AR,Hempstead County,5057,QualChoice Health Insurance,70525,17
AR,Hot Spring County,5059,Ambetter of Arkansas,62141,19
AR,Hot Spring County,5059,Arkansas Blue Cross and Blue Shield,75293,27
AR,Hot Spring County,5059,Coventry Health and Life,60079,1
AR,Hot Spring County,5059,QC Life and Health,37903,5
AR,Hot Spring County,5059,QualChoice Health Insurance,70525,24
AR,Howard County,5061,Ambetter of Arkansas,62141,19
AR,Howard County,5061,Arkansas Blue Cross and Blue Shield,75293,27
AR,Howard County,5061,Coventry Health and Life,60079,1
AR,Howard County,5061,QualChoice Health Insurance,70525,17
AR,Independence County,5063,Ambetter of Arkansas,62141,19
AR,Independence County,5063,Arkansas Blue Cross and Blue Shield,75293,27
AR,Independence County,5063,Coventry Health and Life,60079,1
AR,Independence County,5063,QC Life and Health,37903,5
AR,Independence County,5063,QualChoice Health Insurance,70525,24
AR,Izard County,5065,Ambetter of Arkansas,62141,19
AR,Izard County,5065,Arkansas Blue Cross and Blue Shield,75293,27
AR,Izard County,5065,Coventry Health and Life,60079,1
AR,Izard County,5065,QC Life and Health,37903,5
AR,Izard County,5065,QualChoice Health Insurance,70525,24
AR,Jackson County,5067,Ambetter of Arkansas,62141,19
AR,Jackson County,5067,Arkansas Blue Cross and Blue Shield,75293,27
AR,Jackson County,5067,Coventry Health and Life,60079,1
AR,Jackson County,5067,QC Life and Health,37903,5
AR,Jackson County,5067,QualChoice Health Insurance,70525,24
AR,Jefferson County,5069,Ambetter of Arkansas,62141,19
AR,Jefferson County,5069,Arkansas Blue Cross and Blue Shield,75293,27
AR,Jefferson County,5069,Coventry Health and Life,60079,1
AR,Jefferson County,5069,QC Life and Health,37903,5
AR,Jefferson County,5069,QualChoice Health Insurance,70525,24
AR,Johnson County,5071,Ambetter of Arkansas,62141,19
AR,Johnson County,5071,Arkansas Blue Cross and Blue Shield,75293,27
AR,Johnson County,5071,Coventry Health and Life,60079,1
AR,Johnson County,5071,QualChoice Health Insurance,70525,17
AR,Lafayette County,5073,Ambetter of Arkansas,62141,19
AR,Lafayette County,5073,Arkansas Blue Cross and Blue Shield,75293,27
AR,Lafayette County,5073,Coventry Health and Life,60079,1
AR,Lafayette County,5073,QualChoice Health Insurance,70525,17
AR,Lawrence County,5075,Ambetter of Arkansas,62141,19
AR,Lawrence County,5075,Arkansas Blue Cross and Blue Shield,75293,27
AR,Lawrence County,5075,Coventry Health and Life,60079,1
AR,Lawrence County,5075,QC Life and Health,37903,5
AR,Lawrence County,5075,QualChoice Health Insurance,70525,24
AR,Lee County,5077,Ambetter of Arkansas,62141,19
AR,Lee County,5077,Arkansas Blue Cross and Blue Shield,75293,27
AR,Lee County,5077,Coventry Health and Life,60079,1
AR,Lee County,5077,QC Life and Health,37903,5
AR,Lee County,5077,QualChoice Health Insurance,70525,24
AR,Lincoln County,5079,Ambetter of Arkansas,62141,19
AR,Lincoln County,5079,Arkansas Blue Cross and Blue Shield,75293,27
AR,Lincoln County,5079,Coventry Health and Life,60079,1
AR,Lincoln County,5079,QC Life and Health,37903,5
AR,Lincoln County,5079,QualChoice Health Insurance,70525,24
AR,Little River County,5081,Ambetter of Arkansas,62141,19
AR,Little River County,5081,Arkansas Blue Cross and Blue Shield,75293,27
AR,Little River County,5081,Coventry Health and Life,60079,1
AR,Little River County,5081,QualChoice Health Insurance,70525,17
AR,Logan County,5083,Ambetter of Arkansas,62141,19
AR,Logan County,5083,Arkansas Blue Cross and Blue Shield,75293,27
AR,Logan County,5083,Coventry Health and Life,60079,1
AR,Logan County,5083,QualChoice Health Insurance,70525,17
AR,Lonoke County,5085,Ambetter of Arkansas,62141,19
AR,Lonoke County,5085,Arkansas Blue Cross and Blue Shield,75293,27
AR,Lonoke County,5085,Coventry Health and Life,60079,1
AR,Lonoke County,5085,QC Life and Health,37903,5
AR,Lonoke County,5085,QualChoice Health Insurance,70525,24
AR,Madison County,5087,Ambetter of Arkansas,62141,19
AR,Madison County,5087,Arkansas Blue Cross and Blue Shield,75293,27
AR,Madison County,5087,Coventry Health and Life,60079,1
AR,Madison County,5087,QC Life and Health,37903,5
AR,Madison County,5087,QualChoice Health Insurance,70525,24
AR,Marion County,5089,Ambetter of Arkansas,62141,19
AR,Marion County,5089,Arkansas Blue Cross and Blue Shield,75293,27
AR,Marion County,5089,Coventry Health and Life,60079,1
AR,Marion County,5089,QC Life and Health,37903,5
AR,Marion County,5089,QualChoice Health Insurance,70525,24
AR,Miller County,5091,Ambetter of Arkansas,62141,19
AR,Miller County,5091,Arkansas Blue Cross and Blue Shield,75293,27
AR,Miller County,5091,Coventry Health and Life,60079,1
AR,Miller County,5091,QualChoice Health Insurance,70525,17
AR,Mississippi County,5093,Ambetter of Arkansas,62141,19
AR,Mississippi County,5093,Arkansas Blue Cross and Blue Shield,75293,27
AR,Mississippi County,5093,Coventry Health and Life,60079,1
AR,Mississippi County,5093,QC Life and Health,37903,5
AR,Mississippi County,5093,QualChoice Health Insurance,70525,24
AR,Monroe County,5095,Ambetter of Arkansas,62141,19
AR,Monroe County,5095,Arkansas Blue Cross and Blue Shield,75293,27
AR,Monroe County,5095,Coventry Health and Life,60079,1
AR,Monroe County,5095,QC Life and Health,37903,5
AR,Monroe County,5095,QualChoice Health Insurance,70525,24
AR,Montgomery County,5097,Ambetter of Arkansas,62141,19
AR,Montgomery County,5097,Arkansas Blue Cross and Blue Shield,75293,27
AR,Montgomery County,5097,Coventry Health and Life,60079,1
AR,Montgomery County,5097,QC Life and Health,37903,5
AR,Montgomery County,5097,QualChoice Health Insurance,70525,24
AR,Nevada County,5099,Ambetter of Arkansas,62141,19
AR,Nevada County,5099,Arkansas Blue Cross and Blue Shield,75293,27
AR,Nevada County,5099,Coventry Health and Life,60079,1
AR,Nevada County,5099,QualChoice Health Insurance,70525,17
AR,Newton County,5101,Ambetter of Arkansas,62141,19
AR,Newton County,5101,Arkansas Blue Cross and Blue Shield,75293,27
AR,Newton County,5101,Coventry Health and Life,60079,1
AR,Newton County,5101,QC Life and Health,37903,5
AR,Newton County,5101,QualChoice Health Insurance,70525,24
AR,Ouachita County,5103,Ambetter of Arkansas,62141,19
AR,Ouachita County,5103,Arkansas Blue Cross and Blue Shield,75293,27
AR,Ouachita County,5103,Coventry Health and Life,60079,1
AR,Ouachita County,5103,QualChoice Health Insurance,70525,17
AR,Perry County,5105,Ambetter of Arkansas,62141,19
AR,Perry County,5105,Arkansas Blue Cross and Blue Shield,75293,27
AR,Perry County,5105,Coventry Health and Life,60079,1
AR,Perry County,5105,QC Life and Health,37903,5
AR,Perry County,5105,QualChoice Health Insurance,70525,24
AR,Phillips County,5107,Ambetter of Arkansas,62141,19
AR,Phillips County,5107,Arkansas Blue Cross and Blue Shield,75293,27
AR,Phillips County,5107,Coventry Health and Life,60079,1
AR,Phillips County,5107,QC Life and Health,37903,5
AR,Phillips County,5107,QualChoice Health Insurance,70525,24
AR,Pike County,5109,Ambetter of Arkansas,62141,19
AR,Pike County,5109,Arkansas Blue Cross and Blue Shield,75293,27
AR,Pike County,5109,Coventry Health and Life,60079,1
AR,Pike County,5109,QC Life and Health,37903,5
AR,Pike County,5109,QualChoice Health Insurance,70525,24
AR,Poinsett County,5111,Ambetter of Arkansas,62141,19
AR,Poinsett County,5111,Arkansas Blue Cross and Blue Shield,75293,27
AR,Poinsett County,5111,Coventry Health and Life,60079,1
AR,Poinsett County,5111,QC Life and Health,37903,5
AR,Poinsett County,5111,QualChoice Health Insurance,70525,24
AR,Polk County,5113,Ambetter of Arkansas,62141,19
AR,Polk County,5113,Arkansas Blue Cross and Blue Shield,75293,27
AR,Polk County,5113,Coventry Health and Life,60079,1
AR,Polk County,5113,QualChoice Health Insurance,70525,17
AR,Pope County,5115,Ambetter of Arkansas,62141,19
AR,Pope County,5115,Arkansas Blue Cross and Blue Shield,75293,27
AR,Pope County,5115,Coventry Health and Life,60079,1
AR,Pope County,5115,QC Life and Health,37903,5
AR,Pope County,5115,QualChoice Health Insurance,70525,24
AR,Prairie County,5117,Ambetter of Arkansas,62141,19
AR,Prairie County,5117,Arkansas Blue Cross and Blue Shield,75293,27
AR,Prairie County,5117,Coventry Health and Life,60079,1
AR,Prairie County,5117,QC Life and Health,37903,5
AR,Prairie County,5117,QualChoice Health Insurance,70525,24
AR,Pulaski County,5119,Ambetter of Arkansas,62141,19
AR,Pulaski County,5119,Arkansas Blue Cross and Blue Shield,75293,27
AR,Pulaski County,5119,Coventry Health and Life,60079,1
AR,Pulaski County,5119,QC Life and Health,37903,5
AR,Pulaski County,5119,QualChoice Health Insurance,70525,24
AR,Randolph County,5121,Ambetter of Arkansas,62141,19
AR,Randolph County,5121,Arkansas Blue Cross and Blue Shield,75293,27
AR,Randolph County,5121,Coventry Health and Life,60079,1
AR,Randolph County,5121,QC Life and Health,37903,5
AR,Randolph County,5121,QualChoice Health Insurance,70525,24
AR,Saline County,5125,Ambetter of Arkansas,62141,19
AR,Saline County,5125,Arkansas Blue Cross and Blue Shield,75293,27
AR,Saline County,5125,Coventry Health and Life,60079,1
AR,Saline County,5125,QC Life and Health,37903,5
AR,Saline County,5125,QualChoice Health Insurance,70525,24
AR,Scott County,5127,Ambetter of Arkansas,62141,19
AR,Scott County,5127,Arkansas Blue Cross and Blue Shield,75293,27
AR,Scott County,5127,Coventry Health and Life,60079,1
AR,Scott County,5127,QualChoice Health Insurance,70525,17
AR,Searcy County,5129,Ambetter of Arkansas,62141,19
AR,Searcy County,5129,Arkansas Blue Cross and Blue Shield,75293,27
AR,Searcy County,5129,Coventry Health and Life,60079,1
AR,Searcy County,5129,QC Life and Health,37903,5
AR,Searcy County,5129,QualChoice Health Insurance,70525,24
AR,Sebastian County,5131,Ambetter of Arkansas,62141,19
AR,Sebastian County,5131,Arkansas Blue Cross and Blue Shield,75293,27
AR,Sebastian County,5131,Coventry Health and Life,60079,1
AR,Sebastian County,5131,QualChoice Health Insurance,70525,17
AR,Sevier County,5133,Ambetter of Arkansas,62141,19
AR,Sevier County,5133,Arkansas Blue Cross and Blue Shield,75293,27
AR,Sevier County,5133,Coventry Health and Life,60079,1
AR,Sevier County,5133,QualChoice Health Insurance,70525,17
AR,Sharp County,5135,Ambetter of Arkansas,62141,19
AR,Sharp County,5135,Arkansas Blue Cross and Blue Shield,75293,27
AR,Sharp County,5135,Coventry Health and Life,60079,1
AR,Sharp County,5135,QC Life and Health,37903,5
AR,Sharp County,5135,QualChoice Health Insurance,70525,24
AR,St. Francis County,5123,Ambetter of Arkansas,62141,19
AR,St. Francis County,5123,Arkansas Blue Cross and Blue Shield,75293,27
AR,St. Francis County,5123,Coventry Health and Life,60079,1
AR,St. Francis County,5123,QC Life and Health,37903,5
AR,St. Francis County,5123,QualChoice Health Insurance,70525,24
AR,Stone County,5137,Ambetter of Arkansas,62141,19
AR,Stone County,5137,Arkansas Blue Cross and Blue Shield,75293,27
AR,Stone County,5137,Coventry Health and Life,60079,1
AR,Stone County,5137,QC Life and Health,37903,5
AR,Stone County,5137,QualChoice Health Insurance,70525,24
AR,Union County,5139,Ambetter of Arkansas,62141,19
AR,Union County,5139,Arkansas Blue Cross and Blue Shield,75293,27
AR,Union County,5139,Coventry Health and Life,60079,1
AR,Union County,5139,QualChoice Health Insurance,70525,17
AR,Van Buren County,5141,Ambetter of Arkansas,62141,19
AR,Van Buren County,5141,Arkansas Blue Cross and Blue Shield,75293,27
AR,Van Buren County,5141,Coventry Health and Life,60079,1
AR,Van Buren County,5141,QC Life and Health,37903,5
AR,Van Buren County,5141,QualChoice Health Insurance,70525,24
AR,Washington County,5143,Ambetter of Arkansas,62141,19
AR,Washington County,5143,Arkansas Blue Cross and Blue Shield,75293,27
AR,Washington County,5143,Coventry Health and Life,60079,1
AR,Washington County,5143,QC Life and Health,37903,5
AR,Washington County,5143,QualChoice Health Insurance,70525,24
AR,White County,5145,Ambetter of Arkansas,62141,19
AR,White County,5145,Arkansas Blue Cross and Blue Shield,75293,27
AR,White County,5145,Coventry Health and Life,60079,1
AR,White County,5145,QC Life and Health,37903,5
AR,White County,5145,QualChoice Health Insurance,70525,24
AR,Woodruff County,5147,Ambetter of Arkansas,62141,19
AR,Woodruff County,5147,Arkansas Blue Cross and Blue Shield,75293,27
AR,Woodruff County,5147,Coventry Health and Life,60079,1
AR,Woodruff County,5147,QC Life and Health,37903,5
AR,Woodruff County,5147,QualChoice Health Insurance,70525,24
